UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
BURGLARY-NONRES,100590362,02/28/2010,615 CASCADE AVE SW,402,Westview,T,33.73878,-84.43509,
LARCENY-NON VEHICLE,100590888,02/28/2010,50 LOWER ALABAMA ST,508,Downtown,M,33.75194,-84.38964,
LARCENY-NON VEHICLE,100591007,02/28/2010,1801 HOWELL MILL RD NW,208,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,100591168,02/28/2010,464 MORELAND AVE NE,604,Inman Park,N,33.76686,-84.34915,
LARCENY-NON VEHICLE,100591239,02/28/2010,931 MONROE DR NE,505,Midtown,E,33.77973,-84.3676,
LARCENY-NON VEHICLE,100591552,02/28/2010,375 18TH ST NW,501,Atlantic Station,E,33.79163,-84.40099,
LARCENY-FROM VEHICLE,100590273,02/28/2010,1031 MARIETTA ST NW,501,Marietta Street Artery,E,33.77946,-84.41097,
LARCENY-FROM VEHICLE,100590540,02/28/2010,1221 CAROLINE ST NE,607,Edgewood,O,33.75825,-84.34875,
LARCENY-FROM VEHICLE,100590678,02/28/2010,1641 PEACHTREE ST NE,504,Midtown,E,33.79894,-84.39073,
LARCENY-FROM VEHICLE,100590750,02/28/2010,LINDBERGH DR NE / PIEDMONT RD NE,206,Lindbergh/Morosgo,B,33.82144,-84.36746,
LARCENY-FROM VEHICLE,100591160,02/28/2010,ML KING DR @ PRYOR STREET,508,Downtown,M,33.7514,-84.39098,
LARCENY-FROM VEHICLE,100591384,02/28/2010,2975 HEADLAND DR SW,408,Greenbriar,R,33.69168,-84.4872,
LARCENY-FROM VEHICLE,100591449,02/28/2010,1701 NORTHSIDE DR NW,210,Loring Heights,E,33.8013,-84.40591,
LARCENY-NON VEHICLE,100591775,02/28/2010,220 26TH ST NW,210,Brookwood,E,33.80312,-84.4011,
LARCENY-FROM VEHICLE,100590638,02/28/2010,1830 WESTWOOD AVE SW,411,Westwood Terrace,I,33.73852,-84.44762,
LARCENY-FROM VEHICLE,100590639,02/28/2010,255 COURTLAND ST NE @HILTON HOTEL,507,Downtown,M,33.76157,-84.38314,
LARCENY-FROM VEHICLE,100590753,02/28/2010,819 DURANT PL NE,505,Midtown,E,33.77692,-84.37515,
LARCENY-FROM VEHICLE,100590787,02/28/2010,1288 WICHITA DR,406,Venetian Hills,S,33.72011,-84.44132,
LARCENY-FROM VEHICLE,100590846,02/28/2010,2423 MARTIN L KING JR DR NW,411,Florida Heights,I,33.75183,-84.46623,
LARCENY-FROM VEHICLE,100590967,02/28/2010,1058 HARWELL ST NW,103,Washington Park,K,33.75556,-84.42247,
LARCENY-NON VEHICLE,100590770,02/28/2010,54 PEACHTREE PARK DR NE,206,,E,33.81296,-84.39083,
LARCENY-NON VEHICLE,100590823,02/28/2010,265 PEACHTREE ST NE,507,Downtown,M,33.76152,-84.38672,
LARCENY-NON VEHICLE,100590930,02/28/2010,1210 CAROLINE ST NE,607,Edgewood,O,33.75851,-84.34829,
LARCENY-NON VEHICLE,100591024,02/28/2010,100 10TH ST NE,502,Midtown,E,33.78179,-84.38378,
LARCENY-NON VEHICLE,100591527,02/28/2010,265 PEACHTREE CENTER AVE NE,507,Downtown,M,33.76158,-84.38496,
LARCENY-NON VEHICLE,100590331,02/28/2010,999 BRADY AVE NW,501,Home Park,E,33.7817,-84.41338,
LARCENY-NON VEHICLE,100590498,02/28/2010,996 IRA STREET,303,Pittsburgh,V,33.72766,-84.3999,
LARCENY-NON VEHICLE,100590783,02/28/2010,2231 FORREST PL NW,209,Riverside,D,33.81667,-84.47044,
LARCENY-NON VEHICLE,100590902,02/28/2010,165 BURBANK DR NW,103,Hunter Hills,K,33.75963,-84.42902,
LARCENY-NON VEHICLE,100591091,02/28/2010,2429 MARTIN L KING JR DR NW,411,Florida Heights,I,33.75246,-84.46669,
LARCENY-NON VEHICLE,100591123,02/28/2010,714 CASPLAN ST SW,311,Sylvan Hills,X,33.70569,-84.41141,
AUTO THEFT,100590307,02/28/2010,1934 WINDEMERE DRIVE,601,Morningside/Lenox Park,F,33.80762,-84.36423,
AUTO THEFT,100591773,02/28/2010,3121 CAMPBELLTON RD SW,407,Southwest,R,33.69234,-84.49133,
AUTO THEFT,100590163,02/28/2010,390 STOVALL ST,609,Ormewood Park,W,33.74366,-84.3541,
AUTO THEFT,100590281,02/28/2010,210 PEACHTREE ST NW,508,Downtown,M,33.74886,-84.39453,
AUTO THEFT,100590611,02/28/2010,226 COURTLAND ST NE,507,Downtown,M,33.76051,-84.38429,
AUTO THEFT,100590634,02/28/2010,995 LAWTON AVE SW,403,Oakland City,S,33.72528,-84.42038,
AUTO THEFT,100590688,02/28/2010,795 POLLARD BOULEVARD,302,Summerhill,V,33.73328,-84.391,
AUTO THEFT,100590737,02/28/2010,508 MAIN ST NE,206,Lindbergh/Morosgo,B,33.8227,-84.37056,
AUTO THEFT,100590995,02/28/2010,1919 METROPOLITAN PKWY SW,311,Sylvan Hills,X,33.70278,-84.41017,
AUTO THEFT,100591682,02/28/2010,MARTIN L KING JR DR NW / FAIRBURN RD NW,413,Adamsville,H,33.75083,-84.50704,
ROBBERY-PEDESTRIAN,100590040,02/28/2010,1013 ASHBY GRV SW,107,Ashview Heights,T,33.75012,-84.42104,
ROBBERY-PEDESTRIAN,100590259,02/28/2010,2051 ROGERS AVE SW,411,Westwood Terrace,I,33.73771,-84.45534,
ROBBERY-PEDESTRIAN,100590903,02/28/2010,199 PETERS ST SW,508,Castleberry Hill,M,33.74904,-84.40004,
ROBBERY-PEDESTRIAN,100591747,02/28/2010,I 20 EB AT MARTIN LUTHER KING JR DR,402,,I,33.75065,-84.44767,
AGG ASSAULT,100590047,02/28/2010,806 MAGNOLIA WAY NW,101,Vine City,L,33.75805,-84.41408,
AGG ASSAULT,100590116,02/28/2010,WESTVIEW DR SW / DARGAN PL SW,107,Ashview Heights,T,33.74713,-84.42419,
AGG ASSAULT,100590256,02/28/2010,I-20WB @ HILL ST,303,Harris Chiles,T,33.74152,-84.41406,
AGG ASSAULT,100590911,02/28/2010,I-20WB @ FLAT SHOALS RD,606,Grove Park,J,33.77641,-84.45005,
AGG ASSAULT,100591636,02/28/2010,284 SPELLMAN ST NW,104,Dixie Hills,J,33.76271,-84.45281,
AGG ASSAULT,100590248,02/28/2010,2054 BETHEL DR NW,104,Dixie Hills,J,33.7622,-84.4552,
AGG ASSAULT,100590324,02/28/2010,3230 CUSHMAN CIR SW,412,,I,33.74904,-84.49356,
AGG ASSAULT,100590643,02/28/2010,1940 FISHER RD SE,609,Custer/McDonough/Guice,W,33.70979,-84.35849,
AGG ASSAULT,100591006,02/28/2010,340 DIXIE HILLS CIR NW,105,Grove Park,J,33.76475,-84.44937,
AGG ASSAULT,100591289,02/28/2010,1642 S OLYMPIAN WAY SW,402,Westview,T,33.73579,-84.44148,
AGG ASSAULT,100591357,02/28/2010,62 HARWELL RD NW,412,,I,33.7538,-84.493,
BURGLARY-RESIDENCE,100590125,02/28/2010,1571 MAYFLOWER AVE SW,403,Cascade Avenue/Road,S,33.72817,-84.43909,
BURGLARY-RESIDENCE,100590736,02/28/2010,2808 NARRON CT SW,410,Deerwood,P,33.67709,-84.50771,
BURGLARY-RESIDENCE,100590854,02/28/2010,2125 JOSEPH E BOONE BLVD NW,104,Center Hill,J,33.76479,-84.4579,
BURGLARY-RESIDENCE,100590987,02/28/2010,3200 STONE RD SW,408,Greenbriar,R,33.6697,-84.49403,
BURGLARY-RESIDENCE,100591027,02/28/2010,795 ERIN AVE SW,312,Capitol View,X,33.71946,-84.41387,
BURGLARY-RESIDENCE,100591035,02/28/2010,3200 STONE RD SW,408,Greenbriar,R,33.6697,-84.49403,
BURGLARY-RESIDENCE,100591081,02/28/2010,1341 LUCILE AVE SW,401,West End,T,33.7425,-84.43169,
BURGLARY-RESIDENCE,100591111,02/28/2010,165 WALNUT ST SW,107,Atlanta University Center,T,33.75001,-84.4068,
BURGLARY-RESIDENCE,100591208,02/28/2010,711 WILSON RD NW,207,Springlake,C,33.81553,-84.41234,
BURGLARY-RESIDENCE,100591269,02/28/2010,791 MAGNOLIA WAY,101,Vine City,L,33.75823,-84.41387,
BURGLARY-RESIDENCE,100591414,02/28/2010,918 SMITH ST SW,303,Pittsburgh,V,33.72986,-84.40063,
BURGLARY-RESIDENCE,100591431,02/28/2010,902 WESTMONT RD SW,403,Oakland City,S,33.73062,-84.43721,
BURGLARY-RESIDENCE,100591504,02/28/2010,532 CLEVELAND AVE SW,309,Hammond Park,X,33.68116,-84.4059,
BURGLARY-RESIDENCE,100591728,02/28/2010,1378 LUCILE AVE SW,401,Westview,T,33.74198,-84.43297,
BURGLARY-RESIDENCE,100590447,02/28/2010,2909 CAMPBELLTON RD SW,407,Southwest,R,33.69869,-84.48265,
BURGLARY-RESIDENCE,100591000,02/28/2010,2873 SALMON AVE SE,608,East Lake,O,33.73978,-84.2929,
BURGLARY-RESIDENCE,100580358,02/27/2010,4804 PEACHTREE PARK DR NE,206,,E,33.8137,-84.38982,
BURGLARY-RESIDENCE,100580127,02/27/2010,881 ROCK ST NW,101,Vine City,L,33.76231,-84.41648,
BURGLARY-RESIDENCE,100580734,02/27/2010,250 NEWPORT ST,101,Vine City,L,33.76149,-84.41421,
BURGLARY-RESIDENCE,100580933,02/27/2010,2500 CENTER ST NW,106,Carey Park,G,33.78999,-84.47156,
BURGLARY-RESIDENCE,100581807,02/27/2010,105 MOURY AVE SE,305,South Atlanta,Y,33.71299,-84.38757,
BURGLARY-RESIDENCE,100582019,02/27/2010,301 SKIPPER PL NW,109,Collier Heights,I,33.78229,-84.49111,
BURGLARY-NONRES,100580170,02/27/2010,3050 MARTIN L KING JR DR SW,412,Harland Terrace,I,33.75177,-84.4857,
