,Report Number,Occur Date,Occur Time,Neighborhood
2,190011858,2019-01-01,1740,Greenbriar
3,190010716,2018-12-31,2350,Sweet Auburn
9,190011191,2018-12-31,1100,Downtown
12,190011314,2019-01-01,1004,Sylvan Hills
14,190011581,2019-01-01,1100,Mechanicsville
15,190011593,2019-01-01,1430,Poncey-Highland
16,190011777,2018-12-31,1700,North Buckhead
17,190012068,2019-01-01,1930,Downtown
18,190012208,2019-01-01,1809,Downtown
19,190012236,2019-01-01,2200,Blandtown
20,190012268,2019-01-01,2140,Marietta Street Artery
22,190011541,2019-01-01,1400,Lenox
23,190011619,2019-01-01,1528,Lenox
24,190011772,2019-01-01,1615,Lenox
25,190012152,2019-01-01,2050,Capitol View
27,190010095,2018-12-31,2242,Old Fourth Ward
28,190010365,2018-12-31,1840,Downtown
29,190010456,2018-12-31,2357,Castleberry Hill
30,190010532,2018-12-31,2300,Home Park
31,190010579,2018-12-31,1930,Kirkwood
32,190011331,2018-12-31,2030,Grant Park
33,190011948,2019-01-01,1700,Edgewood
34,190011642,2019-01-01,1100,other
35,190011645,2019-01-01,1530,Lakewood
36,190011227,2018-12-31,1930,Brookview Heights
37,190011965,2019-01-01,1845,Oakland City
41,190011276,2019-01-01,1050,Atlantic Station
43,190012351,2019-01-01,2315,Lindridge/Martin Manor
48,190011834,2019-01-01,1732,Collier Heights
51,190010580,2018-12-31,1905,Home Park
52,190011032,2018-12-26,1000,Mechanicsville
53,190011394,2018-12-23,2100,Oakland City
55,190011443,2018-12-31,1500,Westview
56,190012325,2019-01-01,2200,Westview
57,190011334,2018-12-01,1600,The Villages at Castleberry Hill
58,190012028,2019-01-01,1500,Custer/McDonough/Guice
59,190012327,2019-01-01,1700,Vine City
60,190012129,2019-01-01,2040,Knight Park/Howell Station
64,190020763,2018-12-29,1730,Adams Park
66,190021263,2018-12-15,1200,Colonial Homes
67,190021317,2018-12-26,1700,other
68,190020994,2019-01-02,1300,Downtown
69,190021591,2019-01-02,1200,Loring Heights
70,190021902,2019-01-02,2230,Lindridge/Martin Manor
72,190020866,2019-01-02,1200,Grant Park
76,190020420,2018-12-28,2059,Midtown
77,190020425,2019-01-01,2000,Peoplestown
78,190020573,2019-01-01,1500,Lindbergh/Morosgo
79,190020602,2019-01-01,2200,Cascade Avenue/Road
82,190021080,2019-01-02,1345,West End
83,190021549,2019-01-02,1826,Venetian Hills
84,190021659,2019-01-02,1915,West End
86,190020392,2019-01-01,1000,Downtown
87,190020393,2018-12-31,1645,Bolton
88,190020719,2019-01-02,1044,Chosewood Park
89,190021398,2019-01-02,1645,other
91,190021503,2019-01-02,1800,Center Hill
92,190021910,2019-01-02,2253,Sylvan Hills
93,190020792,2019-01-02,1129,Downtown
94,190021453,2019-01-02,1600,Grove Park
95,190020874,2019-01-01,1200,Lindbergh/Morosgo
96,190020952,2018-12-21,1800,Inman Park
97,190021110,2019-01-02,1430,Downtown
98,190021974,2019-01-02,2218,Grant Park
99,190020748,2019-01-02,1100,Vine City
100,190020781,2019-01-02,1120,Vine City
101,190020809,2019-01-02,1137,Downtown
102,190021556,2019-01-02,1820,Kirkwood
103,190021710,2019-01-02,2032,Downtown
104,190021845,2019-01-02,2149,West End
105,190020615,2019-01-01,1240,Brookwood Hills
106,190020355,2019-01-01,1214,Colonial Homes
108,190020365,2019-01-01,1800,Grant Park
109,190020403,2019-01-01,2030,Downtown
110,190020457,2019-01-01,2300,Buckhead Forest
112,190020502,2019-01-01,2200,Lindbergh/Morosgo
116,190020843,2018-12-31,1700,Midtown
117,190020933,2018-07-26,2003,Downtown
118,190021043,2019-01-02,1340,North Buckhead
119,190021066,2019-01-02,1345,Marietta Street Artery
120,190021074,2019-01-02,1350,Garden Hills
121,190021118,2019-01-02,1420,Downtown
122,190021164,2018-12-31,1700,Ansley Park
123,190021204,2019-01-01,1215,Virginia Highland
124,190021258,2019-01-02,1518,Kirkwood
125,190021289,2019-01-02,1430,Greenbriar
127,190021414,2019-01-01,2300,Pine Hills
129,190021753,2019-01-02,1915,other
130,190021773,2019-01-02,1930,Peachtree Park
131,190021804,2019-01-02,2100,Adair Park
132,190021828,2019-01-02,2100,North Buckhead
133,190021897,2019-01-02,2200,Peachtree Park
134,190021952,2019-01-02,2033,Midtown
135,190021989,2019-01-02,2340,other
136,190030404,2019-01-02,2200,Lindbergh/Morosgo
137,190030442,2019-01-02,2000,Buckhead Village
138,190030758,2019-01-03,1000,Downtown
139,190030897,2019-01-02,2145,Atlanta University Center
140,190031004,2019-01-03,1347,Downtown
141,190031111,2019-01-03,1420,Perkerson
142,190031174,2019-01-03,1500,Morningside/Lenox Park
143,190031217,2019-01-03,1500,Midtown
145,190031380,2019-01-03,1211,Downtown
146,190031431,2019-01-03,1715,Grant Park
147,190031433,2019-01-03,1630,West End
148,190031903,2019-01-03,1845,Lindbergh/Morosgo
149,190031914,2019-01-03,2000,Ardmore
150,190031921,2019-01-03,1930,Home Park
151,190031954,2019-01-03,2100,Piedmont Heights
152,190032001,2019-01-03,1900,Inman Park
153,190032010,2019-01-03,2100,Buckhead Forest
154,190032026,2019-01-03,2030,East Chastain Park
156,190031247,2019-01-03,1500,Lenox
157,190031415,2019-01-03,1455,Edgewood
158,190031847,2019-01-03,2036,Lenox
159,190021687,2019-01-02,2019,Berkeley Park
160,190032145,2019-01-03,2320,Berkeley Park
